timestamp,stockMarket,pair,side,price,liquidity
2025-05-17T09:54:28.998Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:30.083Z,Bybit,SOL/USDT,buy,167.95,195385.19508
2025-05-17T09:54:31.371Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:32.085Z,Bybit,SOL/USDT,buy,167.96,195474.21388
2025-05-17T09:54:33.743Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:36.153Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:37.082Z,Bybit,SOL/USDT,buy,167.99,195606.75146
2025-05-17T09:54:38.529Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:40.084Z,Bybit,SOL/USDT,buy,168,195669.24746
2025-05-17T09:54:40.932Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:41.088Z,Bybit,SOL/USDT,buy,168.02,196669.3025
2025-05-17T09:54:43.083Z,Bybit,SOL/USDT,buy,168.02,196728.9496
2025-05-17T09:54:43.291Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:44.081Z,Bybit,SOL/USDT,buy,168.05,196777.85215
2025-05-17T09:54:45.666Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:46.086Z,Bybit,SOL/USDT,buy,168.08,198337.1093
2025-05-17T09:54:48.022Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:49.086Z,Bybit,SOL/USDT,buy,168.07,199520.71773
2025-05-17T09:54:50.084Z,Bybit,SOL/USDT,buy,168.08,200020.58765
2025-05-17T09:54:50.438Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:52.804Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:53.085Z,Bybit,SOL/USDT,buy,168.07,200587.31969
2025-05-17T09:54:54.083Z,Bybit,SOL/USDT,buy,168.06,200602.44509
2025-05-17T09:54:55.084Z,Bybit,SOL/USDT,buy,168.06,200900.58353
2025-05-17T09:54:55.274Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:54:56.080Z,Bybit,SOL/USDT,buy,168.06,200900.58353
2025-05-17T09:54:57.088Z,Bybit,SOL/USDT,buy,168.06,201198.89003
2025-05-17T09:54:57.788Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:00.178Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:01.083Z,Bybit,SOL/USDT,buy,168.06,201198.89003
2025-05-17T09:55:02.083Z,Bybit,SOL/USDT,buy,168.05,4161.83754
2025-05-17T09:55:02.568Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:04.086Z,Bybit,SOL/USDT,buy,168.02,8380.25247
2025-05-17T09:55:04.951Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:06.081Z,Bybit,SOL/USDT,buy,168.02,8619.51295
2025-05-17T09:55:07.081Z,Bybit,SOL/USDT,buy,168.05,9297.58875
2025-05-17T09:55:07.335Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:08.081Z,Bybit,SOL/USDT,buy,168.08,9336.41523
2025-05-17T09:55:09.083Z,Bybit,SOL/USDT,buy,168.09,10933.27023
2025-05-17T09:55:09.785Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:12.082Z,Bybit,SOL/USDT,buy,168.08,12866.63891
2025-05-17T09:55:12.188Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:14.577Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:15.086Z,Bybit,SOL/USDT,buy,168.07,13020.7591
2025-05-17T09:55:16.089Z,Bybit,SOL/USDT,buy,168.05,13025.63255
2025-05-17T09:55:16.966Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:19.082Z,Bybit,SOL/USDT,buy,168.04,13258.70403
2025-05-17T09:55:19.344Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:21.766Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:24.090Z,Bybit,SOL/USDT,buy,168.04,17759.48739
2025-05-17T09:55:24.152Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:26.573Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:28.941Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:29.083Z,Bybit,SOL/USDT,buy,168.04,17885.18131
2025-05-17T09:55:31.382Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:32.086Z,Bybit,SOL/USDT,buy,168.04,17900.97707
2025-05-17T09:55:33.754Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:34.084Z,Bybit,SOL/USDT,buy,168.04,18338.55323
2025-05-17T09:55:36.118Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:38.481Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:39.089Z,Bybit,SOL/USDT,buy,168.01,18701.45483
2025-05-17T09:55:40.852Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:41.088Z,Bybit,SOL/USDT,buy,168.02,19022.37303
2025-05-17T09:55:43.209Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:44.083Z,Bybit,SOL/USDT,buy,168.04,19127.22999
2025-05-17T09:55:45.587Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:46.096Z,Bybit,SOL/USDT,buy,168.03,20025.6864
2025-05-17T09:55:47.086Z,Bybit,SOL/USDT,buy,168.03,20077.94664
2025-05-17T09:55:48.095Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:49.086Z,Bybit,SOL/USDT,buy,168.03,20157.59286
2025-05-17T09:55:50.085Z,Bybit,SOL/USDT,buy,168.05,20273.7088
2025-05-17T09:55:50.477Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:52.086Z,Bybit,SOL/USDT,buy,168.06,20362.61254
2025-05-17T09:55:52.965Z,Raydium,SOL/USDT,buy,168.18948171946963,1087852.81
2025-05-17T09:55:53.084Z,Bybit,SOL/USDT,buy,168.12,20903.27438
