timestamp,stockMarket,category,pair,price
2025-05-30T10:11:18.113Z,Bybit,linear,BANANAS31USDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BANANAUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BANDUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BANKUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BANUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BATUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BBUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BCHPERP,null
2025-05-30T10:11:18.113Z,Bybit,linear,BCHUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BEAMUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BELUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BERAUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BICOUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BIGTIMEUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BIOUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BLASTUSDT,null
2025-05-30T10:11:18.113Z,Bybit,linear,BLURUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BMTUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BNBPERP,null
2025-05-30T10:11:18.114Z,Bybit,linear,BNBUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BNTUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BOBAUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BOMEUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BRETTUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BROCCOLIUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BRUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BSVUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BSWUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTC-26DEC25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTC-26SEP25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTC-27JUN25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCPERP,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCUSDT,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCUSDT-06JUN25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCUSDT-13JUN25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCUSDT-20JUN25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCUSDT-25JUL25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCUSDT-26DEC25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCUSDT-26SEP25,null
2025-05-30T10:11:18.114Z,Bybit,linear,BTCUSDT-27JUN25,null
2025-05-30T10:11:18.115Z,Bybit,linear,BTCUSDT-27MAR26,null
2025-05-30T10:11:18.115Z,Bybit,linear,BUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,C98USDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CAKEUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CARVUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CATIUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CELOUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CELRUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CETUSUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CFXUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CGPTUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CHESSUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CHILLGUYUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CHRUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CHZUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CKBUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CLANKERUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,CLOUDUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,COMPUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,COOKIEUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,COOKUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,COREUSDT,null
2025-05-30T10:11:18.115Z,Bybit,linear,COSUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,COTIUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,COWUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CPOOLUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CROUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CRVPERP,null
2025-05-30T10:11:18.116Z,Bybit,linear,CRVUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CTCUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CTKUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CTSIUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CVCUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CVXUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,CYBERUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DARKUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DASHUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DBRUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DEEPUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DEGENUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DENTUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DEXEUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DGBUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DODOUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DOGEPERP,null
2025-05-30T10:11:18.116Z,Bybit,linear,DOGEUSDT,null
2025-05-30T10:11:18.116Z,Bybit,linear,DOGSUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,DOGUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,DOODUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,DOTPERP,null
2025-05-30T10:11:18.117Z,Bybit,linear,DOTUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,DRIFTUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,DUCKUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,DUSKUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,DYDXUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,DYMUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,EDUUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,EGLDUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,EIGENUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,ELXUSDT,null
2025-05-30T10:11:18.117Z,Bybit,linear,ENAPERP,null
2025-05-30T10:11:18.117Z,Bybit,linear,ENAUSDT,null
